zip,estimate,house area,lot area,month value change,LAT,LNG,Locations,Total Buildings,Percent Insured
77450,362676.42600000004,3120.632,4397169.454965358,4665.598,29.745247,-95.741783,4290,8475,50.61946902654867
77493,255724.32,2260.3567134268537,17584.71165644172,-834.3152610441767,29.853215,-95.831456,1969,9117,21.597016562465722
77502,156018.824,1576.2965931863728,8474.41935483871,415.68199999999996,29.679518,-95.199783,1485,8869,16.74371406020972
77503,153943.262,1419.0220440881762,10133.445783132529,276.10400000000004,29.703477000000003,-95.158895,1080,6415,16.835541699142635
77504,204984.198,1881.3446893787573,11439.625766871168,753.4739999999999,29.647916,-95.18978,1089,4332,25.138504155124654
77505,240258.12399999998,2092.306,9276.928,243.484,29.645646000000006,-95.140307,2932,6730,43.56612184249629
77506,119807.56,1270.3286573146293,7057.769076305221,743.056,29.713919,-95.199702,535,7691,6.956182551033676
77520,123749.18400000001,1429.6593186372745,10606.645290581162,2427.5,29.733275,-94.994118,1528,8031,19.02627319138339
77521,182018.16,1870.652,15251.90082644628,66.16199999999999,29.802461,-94.970322,3068,8543,35.91244293573686
77530,154569.018,1521.784708249497,13568.61776859504,1785.38,29.785907,-95.117207,657,7503,8.756497401039583
77532,190884.93600000002,1837.891836734694,1144562.7085020242,1811.924,29.932872,-95.057187,1343,6963,19.287663363492747
77536,214350.782,1957.1646586345387,9071.89939637827,12.187999999999999,29.698461,-95.121268,4225,9614,43.946328271271064
77547,114225.26,1302.0739999999998,6966.528,1751.9579999999999,29.735876,-95.238178,182,2816,6.4630681818181825
77562,172376.402,1558.5878787878787,30267.254032258068,1532.2,29.834034000000006,-95.051267,547,4096,13.3544921875
77571,192349.13,1752.568,9814.954356846472,-497.788,29.688459,-95.057379,5310,9481,56.006750342790845
77586,306169.674,2505.9739478957918,11979.337398373984,-761.7460000000001,29.583816,-95.036166,5560,7425,74.88215488215488
77587,136025.936,1340.8531187122735,7990.362903225807,-145.412,29.661032,-95.229784,633,4555,13.89681668496158
77598,204479.832,1768.3767535070137,8842.415478615072,-562.918,29.539422,-95.134995,1028,3205,32.07488299531981
