zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77002,"4919 TRAVIS ST, HOUSTON, TX 77002",29.729870000000002,-95.38718100000001,2479,1873,448505,405791,427148,4564,350000.0
77002,"1211 STERRETT ST, HOUSTON, TX 77002",29.767487,-95.354373,4806,3131,763043,690373,726708,-69395,662638.0
77002,"200 MAIN ST, HOUSTON, TX 77002",29.762725,-95.360624,1764,,388701,341476,363272,30189,316597.0
77002,"2521 MAIN ST, HOUSTON, TX 77002",29.745753000000004,-95.373502,487,,123470,104035,114324,-96,83051.0
77002,"108 PIERCE ST, HOUSTON, TX 77002",29.753774,-95.378252,2096,1546,485400,439172,462286,-10820,435318.0
77002,"600 JEFFERSON ST, HOUSTON, TX 77002",29.752686999999998,-95.372733,,,131666,31919,66498,876,8149.0
77002,"4802 TRAVIS ST, HOUSTON, TX 77002",29.730998,-95.386662,2592,5001,724720,624988,664881,-9601,650743.0
77002,"1608 CAROLINE ST, HOUSTON, TX 77002",29.750943,-95.366033,1100,,387563,212723,291401,4552,
77002,"2202 CAROLINE ST, HOUSTON, TX 77002",29.746332000000002,-95.369688,1944,1764,339746,307390,323568,-909,299000.0
77002,"916 CHAPMAN ST, HOUSTON, TX 77002",29.768721999999997,-95.352542,1308,3524,503141,424669,461597,5073,159132.0
77002,"400 SMITH ST, HOUSTON, TX 77002",29.763324,-95.365161,,78458268,9791604,3280187,4895802,-42697,3956785.0
77002,"21 CHENEVERT ST, HOUSTON, TX 77002",29.759755,-95.352731,1585,,272498,241355,259522,5604,252931.0
77002,"2016 MAIN ST PH 1, HOUSTON, TX 77002",29.748853999999998,-95.371605,3885,,728783,563151,662530,16089,633556.0
77002,"1503 NANCE ST, HOUSTON, TX 77002",29.768347,-95.352096,1960,6551,368053,259447,301683,-7067,147527.0
77002,"4830 TRAVIS ST, HOUSTON, TX 77002",29.730890000000002,-95.386749,2092,1498,433196,391940,412568,-35633,438190.0
77002,"2246 LA BRANCH ST, HOUSTON, TX 77002",29.745133000000003,-95.368101,2149,1551,327235,296069,311652,-4160,350273.0
77002,"1720 MAIN ST, HOUSTON, TX 77002",29.75125,-95.36972800000001,1169,,177940,160994,169467,-8171,180196.0
77002,"4914 TRAVIS ST, HOUSTON, TX 77002",29.73017,-95.387325,2285,2500,474370,429192,451781,-10734,439000.0
77002,"2415 MAIN ST, HOUSTON, TX 77002",29.746364,-95.37302,,,481242,237183,343744,-16985,
77002,"3001 MAIN ST, HOUSTON, TX 77002",29.742696000000002,-95.375935,739,,178540,136340,162309,-474,172225.0
77002,"2205 AUSTIN ST, HOUSTON, TX 77002",29.74563,-95.3686,2416,2073,352657,319071,335864,-1181,345411.0
